"Nom","Type","Niveau","Rareté","Prix","Page AoN","Prix vérifié AoN","Prix vérifié (pc)","Fiche AoN vérifiée","Nom AoN retenu","Livre AoN","Édition retenue","Niveau AoN","Date vérification"
"Rovagug's Mud (Greater)","Potion","18","Common","4,800 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","4,800 gp","480000","https://2e.aonprd.com/Equipment.aspx?ID=4625&NoRedirect=1","Rovagug's Mud (Greater)","Treasure Vault pg. 91","legacy","18","2026-09-12"
"Potion of Annulment (Greater)","Potion","20","Rare","13,000 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","13,000 gp","1300000","https://2e.aonprd.com/Equipment.aspx?ID=1711&NoRedirect=1","Potion of Annulment (Greater)","Pathfinder #182: Graveclaw pg. 77","source_unique","20","2026-09-12"
"Starsong Nectar","Potion","20","Rare","14,000 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","14,000 gp","1400000","https://2e.aonprd.com/Equipment.aspx?ID=4626&NoRedirect=1","Starsong Nectar","Treasure Vault pg. 91","legacy","20","2026-09-12"
"Digly's Oil of Sympathy (Minor)","Huile","1","Rare","40 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","40 gp","4000","https://2e.aonprd.com/Equipment.aspx?ID=3586&NoRedirect=1","Digly's Oil of Sympathy (Minor)","NPC Core pg. 65","source_unique","1","2026-09-12"
"Merciful Balm","Huile","1","Common","3 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","5 gp","500","https://2e.aonprd.com/Equipment.aspx?ID=4605&NoRedirect=1","Merciful Balm","Treasure Vault pg. 86","legacy","1","2026-09-12"
"Nectar of Purification","Huile","1","Common","3 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","3 gp","300","https://2e.aonprd.com/Equipment.aspx?ID=174&NoRedirect=1","Nectar of Purification","Core Rulebook pg. 561","legacy","1","2026-09-12"
"Oil of Unlife (Minor)","Huile","1","Common","4 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","4 gp","400","https://2e.aonprd.com/Equipment.aspx?ID=718&NoRedirect=1","Oil of Unlife (Minor)","Advanced Player's Guide pg. 258","legacy","1","2026-09-12"
"Shielding Salve","Huile","1","Common","4 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","4 gp","400","https://2e.aonprd.com/Equipment.aspx?ID=724&NoRedirect=1","Shielding Salve","Advanced Player's Guide pg. 259","legacy","1","2026-09-12"
"Anticorrosion Oil","Huile","2","Common","6 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","6 gp","600","https://2e.aonprd.com/Equipment.aspx?ID=4600&NoRedirect=1","Anticorrosion Oil","Treasure Vault pg. 86","legacy","2","2026-09-12"
"Oil of Potency","Huile","2","Common","7 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","7 gp","700","https://2e.aonprd.com/Equipment.aspx?ID=179&NoRedirect=1","Oil of Potency","Core Rulebook pg. 562","legacy","2","2026-09-12"
"Oil of Skating","Huile","2","Common","5 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","5 gp","500","https://2e.aonprd.com/Equipment.aspx?ID=4607&NoRedirect=1","Oil of Skating","Treasure Vault pg. 87","legacy","2","2026-09-12"
"Oil of Weightlessness","Huile","2","Common","6 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","6 gp","600","https://2e.aonprd.com/Equipment.aspx?ID=181&NoRedirect=1","Oil of Weightlessness","Core Rulebook pg. 562","legacy","2","2026-09-12"
"Bane Oil","Huile","3","Uncommon","12 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","12 gp","1200","https://2e.aonprd.com/Equipment.aspx?ID=4601&NoRedirect=1","Bane Oil","Treasure Vault pg. 86","legacy","3","2026-09-12"
"Burial Oil","Huile","3","Uncommon","10 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","10 gp","1000","https://2e.aonprd.com/Equipment.aspx?ID=4602&NoRedirect=1","Disrupting Oil","Treasure Vault pg. 86","legacy","3","2026-09-12"
"Digly's Oil of Sympathy (Lesser)","Huile","3","Rare","12 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","12 gp","1200","https://2e.aonprd.com/Equipment.aspx?ID=3586&NoRedirect=1","Digly's Oil of Sympathy (Lesser)","NPC Core pg. 65","source_unique","3","2026-09-12"
"Life-Boosting Oil (Lesser)","Huile","3","Uncommon","12 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","12 gp","1200","https://2e.aonprd.com/Equipment.aspx?ID=4604&NoRedirect=1","Life-Boosting Oil (Lesser)","Treasure Vault pg. 86","legacy","3","2026-09-12"
"Oil of Mending","Huile","3","Common","9 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","9 gp","900","https://2e.aonprd.com/Equipment.aspx?ID=178&NoRedirect=1","Oil of Mending","Core Rulebook pg. 561","legacy","3","2026-09-12"
"Oil of Unlife (Lesser)","Huile","3","Common","12 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","12 gp","1200","https://2e.aonprd.com/Equipment.aspx?ID=718&NoRedirect=1","Oil of Unlife (Lesser)","Advanced Player's Guide pg. 258","legacy","3","2026-09-12"
"Serpent Oil (Lesser)","Huile","3","Common","8 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","8 gp","800","https://2e.aonprd.com/Equipment.aspx?ID=4609&NoRedirect=1","Serpent Oil (Lesser)","Treasure Vault pg. 87","legacy","3","2026-09-12"
"Anointing Oil","Huile","4","Uncommon","18 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","18 gp","1800","https://2e.aonprd.com/Equipment.aspx?ID=1563&NoRedirect=1","Anointing Oil","Knights of Lastwall pg. 88","source_unique","4","2026-09-12"
"Ghost Oil","Huile","4","Common","18 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","18 gp","1800","https://2e.aonprd.com/Equipment.aspx?ID=1571&NoRedirect=1","Ghost Oil","Knights of Lastwall pg. 90","source_unique","4","2026-09-12"
"Restful Salve","Huile","5","Uncommon","30 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","30 gp","3000","https://2e.aonprd.com/Equipment.aspx?ID=4175&NoRedirect=1","Restful Salve","Pathfinder #222: Hellbreakers pg. 210","source_unique","5","2026-09-12"
"Serpent Oil (Moderate)","Huile","5","Common","24 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","24 gp","2400","https://2e.aonprd.com/Equipment.aspx?ID=4609&NoRedirect=1","Serpent Oil (Moderate)","Treasure Vault pg. 87","legacy","5","2026-09-12"
"Statue Skin Salve","Huile","5","Uncommon","25 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","25 gp","2500","https://2e.aonprd.com/Equipment.aspx?ID=2520&NoRedirect=1","Statue Skin Salve","The Enmity Cycle pg. 61","source_unique","5","2026-09-12"
"Tricky Liniment","Huile","5","Common","25 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","25 gp","2500","https://2e.aonprd.com/Equipment.aspx?ID=183&NoRedirect=1","Salve of Slipperiness","Core Rulebook pg. 562","legacy","5","2026-09-12"
"Wounding Oil","Huile","5","Uncommon","45 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","45 gp","4500","https://2e.aonprd.com/Equipment.aspx?ID=4611&NoRedirect=1","Wounding Oil","Treasure Vault pg. 87","legacy","5","2026-09-12"
"Cindergrass Poultice","Huile","6","Uncommon","33 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","33 gp","3300","https://2e.aonprd.com/Equipment.aspx?ID=3671&NoRedirect=1","Cindergrass Poultice","Pathfinder #208: Hoof, Cinder, and Storm pg. 80","source_unique","6","2026-09-12"
"Digly's Oil of Sympathy (Moderate)","Huile","6","Rare","50 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","50 gp","5000","https://2e.aonprd.com/Equipment.aspx?ID=3586&NoRedirect=1","Digly's Oil of Sympathy (Moderate)","NPC Core pg. 65","source_unique","6","2026-09-12"
"Oil of Swiftness","Huile","6","Uncommon","50 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","50 gp","5000","https://2e.aonprd.com/Equipment.aspx?ID=4608&NoRedirect=1","Oil of Swiftness","Treasure Vault pg. 87","legacy","6","2026-09-12"
"Oil of Unlife (Moderate)","Huile","6","Common","50 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","50 gp","5000","https://2e.aonprd.com/Equipment.aspx?ID=718&NoRedirect=1","Oil of Unlife (Moderate)","Advanced Player's Guide pg. 258","legacy","6","2026-09-12"
"Oil of Weightlessness (Greater)","Huile","6","Common","36 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","36 gp","3600","https://2e.aonprd.com/Equipment.aspx?ID=181&NoRedirect=1","Oil of Weightlessness (Greater)","Core Rulebook pg. 562","legacy","6","2026-09-12"
"Salve of Antiparalysis","Huile","6","Common","40 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","40 gp","4000","https://2e.aonprd.com/Equipment.aspx?ID=182&NoRedirect=1","Salve of Antiparalysis","Core Rulebook pg. 562","legacy","6","2026-09-12"
"Life-Boosting Oil (Moderate)","Huile","7","Uncommon","70 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","70 gp","7000","https://2e.aonprd.com/Equipment.aspx?ID=4604&NoRedirect=1","Life-Boosting Oil (Moderate)","Treasure Vault pg. 86","legacy","7","2026-09-12"
"Saints' Balm","Huile","7","Uncommon","70 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","70 gp","7000","https://2e.aonprd.com/Equipment.aspx?ID=590&NoRedirect=1","Saints' Balm","Pathfinder #152: Legacy of the Lost God pg. 75","source_unique","7","2026-09-12"
"Serpent Oil (Greater)","Huile","7","Common","56 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","56 gp","5600","https://2e.aonprd.com/Equipment.aspx?ID=4609&NoRedirect=1","Serpent Oil (Greater)","Treasure Vault pg. 87","legacy","7","2026-09-12"
"Topology Protoplasm","Huile","7","Common","70 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","70 gp","7000","https://2e.aonprd.com/Equipment.aspx?ID=1035&NoRedirect=1","Topology Protoplasm","Secrets of Magic pg. 176","legacy","7","2026-09-12"
"Weapon-Weird Oil","Huile","7","Common","55 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","55 gp","5500","https://2e.aonprd.com/Equipment.aspx?ID=4610&NoRedirect=1","Weapon-Weird Oil","Treasure Vault pg. 87","legacy","7","2026-09-12"
"Oil of Dynamism","Huile","8","Uncommon","85 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","85 gp","8500","https://2e.aonprd.com/Equipment.aspx?ID=716&NoRedirect=1","Oil of Object Animation","Advanced Player's Guide pg. 258","legacy","8","2026-09-12"
"Ghostly Portal Paint","Huile","9","Uncommon","120 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","120 gp","12000","https://2e.aonprd.com/Equipment.aspx?ID=1022&NoRedirect=1","Ghostly Portal Paint","Secrets of Magic pg. 173","legacy","9","2026-09-12"
"Oil of Corpse Restoration","Huile","9","Uncommon","150 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","150 gp","15000","https://2e.aonprd.com/Equipment.aspx?ID=2421&NoRedirect=1","Oil of Corpse Restoration","Pathfinder #189: Dreamers of the Nameless Spires pg. 77","legacy","9","2026-09-12"
"Anointing Oil (Greater)","Huile","10","Uncommon","180 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","180 gp","18000","https://2e.aonprd.com/Equipment.aspx?ID=1563&NoRedirect=1","Anointing Oil (Greater)","Knights of Lastwall pg. 88","source_unique","10","2026-09-12"
"Panaceatic Salve","Huile","10","Uncommon","155 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","155 gp","15500","https://2e.aonprd.com/Equipment.aspx?ID=3155&NoRedirect=1","Panaceatic Salve","Pathfinder #199: To Bloom Below the Web pg. 74","legacy","10","2026-09-12"
"Burial Oil (Greater)","Huile","11","Uncommon","250 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","250 gp","25000","https://2e.aonprd.com/Equipment.aspx?ID=4602&NoRedirect=1","Disrupting Oil (Greater)","Treasure Vault pg. 86","legacy","11","2026-09-12"
"Fundamental Oil","Huile","11","Uncommon","220 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","220 gp","22000","https://2e.aonprd.com/Equipment.aspx?ID=4603&NoRedirect=1","Fundamental Oil","Treasure Vault pg. 86","legacy","11","2026-09-12"
"Life-Boosting Oil (Greater)","Huile","11","Uncommon","300 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","300 gp","30000","https://2e.aonprd.com/Equipment.aspx?ID=4604&NoRedirect=1","Life-Boosting Oil (Greater)","Treasure Vault pg. 86","legacy","11","2026-09-12"
"Oil of Keen Edges","Huile","11","Uncommon","250 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","250 gp","25000","https://2e.aonprd.com/Equipment.aspx?ID=177&NoRedirect=1","Oil of Keen Edges","Core Rulebook pg. 561","legacy","11","2026-09-12"
"Oil of Ownership (Greater)","Huile","11","Common","210 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","210 gp","21000","https://2e.aonprd.com/Equipment.aspx?ID=4606&NoRedirect=1","Oil of Ownership (Greater)","Treasure Vault pg. 87","legacy","11","2026-09-12"
"Serpent Oil (Major)","Huile","11","Common","225 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","225 gp","22500","https://2e.aonprd.com/Equipment.aspx?ID=4609&NoRedirect=1","Serpent Oil (Major)","Treasure Vault pg. 87","legacy","11","2026-09-12"
"Digly's Oil of Sympathy (Greater)","Huile","12","Rare","400 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","400 gp","40000","https://2e.aonprd.com/Equipment.aspx?ID=3586&NoRedirect=1","Digly's Oil of Sympathy (Greater)","NPC Core pg. 65","source_unique","12","2026-09-12"
"Oil of Animation","Huile","12","Uncommon","330 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","330 gp","33000","https://2e.aonprd.com/Equipment.aspx?ID=176&NoRedirect=1","Oil of Animation","Core Rulebook pg. 561","legacy","12","2026-09-12"
"Oil of Potency (Greater)","Huile","12","Common","400 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","400 gp","40000","https://2e.aonprd.com/Equipment.aspx?ID=2936&NoRedirect=1","Oil of Potency (Greater)","GM Core pg. 257","remaster_sans_tarif_legacy","12","2026-09-12"
"Salve of Antiparalysis (Greater)","Huile","12","Common","325 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","325 gp","32500","https://2e.aonprd.com/Equipment.aspx?ID=182&NoRedirect=1","Salve of Antiparalysis (Greater)","Core Rulebook pg. 562","legacy","12","2026-09-12"
"Life-Boosting Oil (Major)","Huile","15","Uncommon","1,300 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","1,300 gp","130000","https://2e.aonprd.com/Equipment.aspx?ID=4604&NoRedirect=1","Life-Boosting Oil (Major)","Treasure Vault pg. 86","legacy","15","2026-09-12"
"Obfuscation Oil","Huile","15","Common","1,200 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","1,200 gp","120000","https://2e.aonprd.com/Equipment.aspx?ID=175&NoRedirect=1","Obfuscation Oil","Core Rulebook pg. 561","legacy","15","2026-09-12"
"Serpent Oil (True)","Huile","15","Common","1,100 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","1,100 gp","110000","https://2e.aonprd.com/Equipment.aspx?ID=4609&NoRedirect=1","Serpent Oil (True)","Treasure Vault pg. 87","legacy","15","2026-09-12"
"Oil of Dynamism (Greater)","Huile","16","Uncommon","1,400 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","1,400 gp","140000","https://2e.aonprd.com/Equipment.aspx?ID=716&NoRedirect=1","Oil of Object Animation (Greater)","Advanced Player's Guide pg. 258","legacy","16","2026-09-12"
"Digly's Oil of Sympathy (Major)","Huile","18","Rare","5,000 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","5,000 gp","500000","https://2e.aonprd.com/Equipment.aspx?ID=3586&NoRedirect=1","Digly's Oil of Sympathy (Major)","NPC Core pg. 65","source_unique","18","2026-09-12"
"Oil of Unlife (Major)","Huile","18","Common","5,000 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","5,000 gp","500000","https://2e.aonprd.com/Equipment.aspx?ID=718&NoRedirect=1","Oil of Unlife (Major)","Advanced Player's Guide pg. 258","legacy","18","2026-09-12"
"Oil of Potency (Major)","Huile","19","Common","8,000 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","8,000 gp","800000","https://2e.aonprd.com/Equipment.aspx?ID=2936&NoRedirect=1","Oil of Potency (Major)","GM Core pg. 257","remaster_sans_tarif_legacy","19","2026-09-12"
"Antimagic Oil","Huile","20","Rare","13,000 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17","13,000 gp","1300000","https://2e.aonprd.com/Equipment.aspx?ID=172&NoRedirect=1","Antimagic Oil","Core Rulebook pg. 561","legacy","20","2026-09-12"
"Addiction Suppressant (Lesser)","Élixir","1","Rare","2 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","2 gp","200","https://2e.aonprd.com/Equipment.aspx?ID=4489&NoRedirect=1","Addiction Suppressant (Lesser)","Treasure Vault pg. 58","legacy","1","2026-09-12"
"Affliction Suppressant (Lesser)","Élixir","1","Common","3 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","2 gp","200","https://2e.aonprd.com/Equipment.aspx?ID=4489&NoRedirect=1","Addiction Suppressant (Lesser)","Treasure Vault pg. 58","legacy","1","2026-09-12"
"Antidote (Lesser)","Élixir","1","Common","3 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","3 gp","300","https://2e.aonprd.com/Equipment.aspx?ID=80&NoRedirect=1","Antidote (Lesser)","Core Rulebook pg. 546","legacy","1","2026-09-12"
"Antiplague (Lesser)","Élixir","1","Common","3 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","3 gp","300","https://2e.aonprd.com/Equipment.aspx?ID=81&NoRedirect=1","Antiplague (Lesser)","Core Rulebook pg. 546","legacy","1","2026-09-12"
"Bendy-Arm Mutagen (Lesser)","Élixir","1","Common","3 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","3 gp","300","https://2e.aonprd.com/Equipment.aspx?ID=4491&NoRedirect=1","Choker-Arm Mutagen (Lesser)","Treasure Vault pg. 59","legacy","1","2026-09-12"
"Bestial Mutagen (Lesser)","Élixir","1","Common","4 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","4 gp","400","https://2e.aonprd.com/Equipment.aspx?ID=82&NoRedirect=1","Bestial Mutagen (Lesser)","Core Rulebook pg. 546","legacy","1","2026-09-12"
"Cheetah's Elixir (Lesser)","Élixir","1","Common","3 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","3 gp","300","https://2e.aonprd.com/Equipment.aspx?ID=86&NoRedirect=1","Cheetah's Elixir (Lesser)","Core Rulebook pg. 547","legacy","1","2026-09-12"
"Cognitive Mutagen (Lesser)","Élixir","1","Common","4 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","4 gp","400","https://2e.aonprd.com/Equipment.aspx?ID=87&NoRedirect=1","Cognitive Mutagen (Lesser)","Core Rulebook pg. 547","legacy","1","2026-09-12"
"Deadweight Mutagen (Lesser)","Élixir","1","Common","3 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","3 gp","300","https://2e.aonprd.com/Equipment.aspx?ID=4494&NoRedirect=1","Deadweight Mutagen (Lesser)","Treasure Vault pg. 59","legacy","1","2026-09-12"
"Drakeheart Mutagen (Lesser)","Élixir","1","Common","4 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","4 gp","400","https://2e.aonprd.com/Equipment.aspx?ID=688&NoRedirect=1","Drakeheart Mutagen (Lesser)","Advanced Player's Guide pg. 253","legacy","1","2026-09-12"
"Eagle-Eye Elixir (Lesser)","Élixir","1","Common","4 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","4 gp","400","https://2e.aonprd.com/Equipment.aspx?ID=90&NoRedirect=1","Eagle-Eye Elixir (Lesser)","Core Rulebook pg. 548","legacy","1","2026-09-12"
"Elixir of Gender Transformation (Lesser)","Élixir","1","Common","1 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","1 gp","100","https://2e.aonprd.com/Equipment.aspx?ID=3307&NoRedirect=1","Elixir of Gender Transformation (Lesser)","Player Core 2 pg. 287","remaster_sans_tarif_legacy","1","2026-09-12"
"Elixir of Life (Minor)","Élixir","1","Common","3 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","3 gp","300","https://2e.aonprd.com/Equipment.aspx?ID=91&NoRedirect=1","Elixir of Life (Minor)","Core Rulebook pg. 548","legacy","1","2026-09-12"
"Elsie's Excellent Bottled Vim","Élixir","1","Rare","3 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","3 gp","300","https://2e.aonprd.com/Equipment.aspx?ID=2695&NoRedirect=1","Elsie's Excellent Bottled Vim","Rusthenge pg. 59","source_unique","1","2026-09-12"
"Energy Mutagen (Lesser)","Élixir","1","Common","4 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","4 sp","40","https://2e.aonprd.com/Equipment.aspx?ID=4495&NoRedirect=1","Energy Mutagen (Lesser)","Treasure Vault pg. 60","legacy","1","2026-09-12"
"Juggernaut Mutagen (Lesser)","Élixir","1","Common","4 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","4 gp","400","https://2e.aonprd.com/Equipment.aspx?ID=94&NoRedirect=1","Juggernaut Mutagen (Lesser)","Core Rulebook pg. 548","legacy","1","2026-09-12"
"Leaper's Elixir (Lesser)","Élixir","1","Common","3 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","3 gp","300","https://2e.aonprd.com/Equipment.aspx?ID=95&NoRedirect=1","Leaper's Elixir (Lesser)","Core Rulebook pg. 549","source_unique","1","2026-09-12"
"Numbing Tonic (Minor)","Élixir","1","Common","4 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","4 gp","400","https://2e.aonprd.com/Equipment.aspx?ID=4496&NoRedirect=1","Numbing Tonic (Minor)","Treasure Vault pg. 60","legacy","1","2026-09-12"
"Quicksilver Mutagen (Lesser)","Élixir","1","Common","4 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","4 gp","400","https://2e.aonprd.com/Equipment.aspx?ID=97&NoRedirect=1","Quicksilver Mutagen (Lesser)","Core Rulebook pg. 549","legacy","1","2026-09-12"
"Sanguine Mutagen (Lesser)","Élixir","1","Common","3 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","3 gp","300","https://2e.aonprd.com/Equipment.aspx?ID=4497&NoRedirect=1","Sanguine Mutagen (Lesser)","Treasure Vault pg. 60","legacy","1","2026-09-12"
"Serene Mutagen (Lesser)","Élixir","1","Common","4 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","4 gp","400","https://2e.aonprd.com/Equipment.aspx?ID=100&NoRedirect=1","Serene Mutagen (Lesser)","Core Rulebook pg. 549","legacy","1","2026-09-12"
"Silvertongue Mutagen (Lesser)","Élixir","1","Common","4 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","4 gp","400","https://2e.aonprd.com/Equipment.aspx?ID=101&NoRedirect=1","Silvertongue Mutagen (Lesser)","Core Rulebook pg. 550","legacy","1","2026-09-12"
"Skeptic's Elixir (Lesser)","Élixir","1","Uncommon","4 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","4 gp","400","https://2e.aonprd.com/Equipment.aspx?ID=917&NoRedirect=1","Skeptic's Elixir (Lesser)","Pathfinder #163: Ruins of Gauntlight pg. 78","source_unique","1","2026-09-12"
"Theatrical Mutagen (Lesser)","Élixir","1","Common","3 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","3 gp","300","https://2e.aonprd.com/Equipment.aspx?ID=4501&NoRedirect=1","Theatrical Mutagen (Lesser)","Treasure Vault pg. 61","legacy","1","2026-09-12"
"Vaccine (Minor)","Élixir","1","Common","4 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","4 gp","400","https://2e.aonprd.com/Equipment.aspx?ID=4502&NoRedirect=1","Vaccine (Minor)","Treasure Vault pg. 61","legacy","1","2026-09-12"
"War Blood Mutagen (Lesser)","Élixir","1","Uncommon","4 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","4 gp","400","https://2e.aonprd.com/Equipment.aspx?ID=1549&NoRedirect=1","War Blood Mutagen (Lesser)","Pathfinder #178: Punks in a Powderkeg pg. 77","source_unique","1","2026-09-12"
"Bottled Catharsis (Minor)","Élixir","2","Common","5 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","5 gp","500","https://2e.aonprd.com/Equipment.aspx?ID=689&NoRedirect=1","Focus Cathartic (Lesser)","Advanced Player's Guide pg. 254","legacy","2","2026-09-12"
"Boulderhead Bock","Élixir","2","Uncommon","5 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","5 gp","500","https://2e.aonprd.com/Equipment.aspx?ID=843&NoRedirect=1","Boulderhead Bock","PFS Guide pg. 29","source_unique","2","2026-09-12"
"Bravo's Brew (Lesser)","Élixir","2","Common","7 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","7 gp","700","https://2e.aonprd.com/Equipment.aspx?ID=84&NoRedirect=1","Bravo's Brew (Lesser)","Core Rulebook pg. 547","legacy","2","2026-09-12"
"Cat's Eye Elixir","Élixir","2","Common","7 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","7 gp","700","https://2e.aonprd.com/Equipment.aspx?ID=85&NoRedirect=1","Cat's Eye Elixir","Core Rulebook pg. 547","legacy","2","2026-09-12"
"Comprehension Elixir (Lesser)","Élixir","2","Common","7 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","7 gp","700","https://2e.aonprd.com/Equipment.aspx?ID=88&NoRedirect=1","Comprehension Elixir (Lesser)","Core Rulebook pg. 547","legacy","2","2026-09-12"
"Darkvision Elixir (Lesser)","Élixir","2","Common","6 gp","https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8","6 gp","600","https://2e.aonprd.com/Equipment.aspx?ID=89&NoRedirect=1","Darkvision Elixir (Lesser)","Core Rulebook pg. 547","legacy","2","2026-09-12"
