Nom,Type,Niveau,Rareté,Prix,Page AoN
Soothing Tonic (Moderate),Élixir,5,Common,28 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Stone Body Mutagen (Lesser),Élixir,5,Common,22 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Viperous Elixir (Lesser),Élixir,5,Common,25 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Addiction Suppressant (Moderate),Élixir,6,Rare,30 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Affliction Suppressant (Moderate),Élixir,6,Common,35 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Antidote (Moderate),Élixir,6,Common,35 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Antiplague (Moderate),Élixir,6,Common,35 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Blood Sight Elixir (Moderate),Élixir,6,Uncommon,400 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Elixir of Gender Transformation (Greater),Élixir,6,Common,35 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Frogskin Tincture,Élixir,6,Common,50 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Mistform Elixir (Moderate),Élixir,6,Common,56 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Skeptic's Elixir (Moderate),Élixir,6,Uncommon,50 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Vaccine (Moderate),Élixir,6,Common,50 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Winterstep Elixir (Lesser),Élixir,6,Uncommon,36 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Comprehension Elixir (Greater),Élixir,7,Common,54 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Leaper's Elixir (Greater),Élixir,7,Common,55 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Moderate Elixir of the Peaks,Élixir,7,Rare,6 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Ommatophoric Mutagen,Élixir,7,Uncommon,65 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Bottled Catharsis (Moderate),Élixir,8,Common,75 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Darkvision Elixir (Greater),Élixir,8,Common,90 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Mnemonic Acid,Élixir,8,Uncommon,75 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Psychic Colors Elixir,Élixir,8,Uncommon,100 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Surging Serum (Moderate),Élixir,8,Common,75 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Viperous Elixir (Moderate),Élixir,8,Common,85 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Blood Sight Elixir (Greater),Élixir,9,Uncommon,115 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Cheetah's Elixir (Greater),Élixir,9,Common,110 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Chromatic Jellyfish Oil (Lesser),Élixir,9,Common,120 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Elixir of Life (Moderate),Élixir,9,Common,150 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Mana-Rattler Liniment,Élixir,9,Uncommon,110 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Pallesthetic Mutagen,Élixir,9,Uncommon,150 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Spiderfoot Brew (Moderate),Élixir,9,Common,150 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Addiction Suppressant (Greater),Élixir,10,Rare,140 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Affliction Suppressant (Greater),Élixir,10,Common,160 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Antidote (Greater),Élixir,10,Common,160 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Antiplague (Greater),Élixir,10,Common,160 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Baleblood Draft,Élixir,10,Rare,155 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Bravo's Brew (Moderate),Élixir,10,Common,150 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Eagle-Eye Elixir (Greater),Élixir,10,Common,200 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Mistform Elixir (Greater),Élixir,10,Common,180 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Olfactory Obfuscator (Greater),Élixir,10,Common,225 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Winterstep Elixir (Moderate),Élixir,10,Uncommon,160 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Bendy-Arm Mutagen (Greater),Élixir,11,Common,300 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Bestial Mutagen (Greater),Élixir,11,Common,300 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Blood Booster (Moderate),Élixir,11,Common,225 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Cognitive Mutagen (Greater),Élixir,11,Common,300 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Contagion Metabolizer (Moderate),Élixir,11,Common,300 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Drakeheart Mutagen (Greater),Élixir,11,Common,300 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Energy Mutagen (Greater),Élixir,11,Common,300 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Greater Elixir of the Peaks,Élixir,11,Rare,25 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Juggernaut Mutagen (Greater),Élixir,11,Common,300 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Prey Mutagen (Greater),Élixir,11,Rare,300 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Quicksilver Mutagen (Greater),Élixir,11,Common,300 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Sanguine Mutagen (Greater),Élixir,11,Common,300 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Serene Mutagen (Greater),Élixir,11,Common,300 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Silvertongue Mutagen (Greater),Élixir,11,Common,300 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Sixfingers Elixir (Moderate),Élixir,11,Uncommon,250 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Skeptic's Elixir (Greater),Élixir,11,Uncommon,300 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Theatrical Mutagen (Greater),Élixir,11,Common,300 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Viperous Elixir (Greater),Élixir,11,Common,225 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Applereed Mutagen (Moderate),Élixir,12,Rare,400 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Blood Sight Elixir (Major),Élixir,12,Uncommon,350 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Bottled Catharsis (Greater),Élixir,12,Common,325 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Cooling Elixir (Moderate),Élixir,12,Common,320 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Sea Touch Elixir (Moderate),Élixir,12,Common,300 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Stone Body Mutagen (Moderate),Élixir,12,Common,300 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Surging Serum (Greater),Élixir,12,Common,325 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Vaccine (Greater),Élixir,12,Common,400 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Witchwarg Elixir (Moderate),Élixir,12,Common,320 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Elixir of Life (Greater),Élixir,13,Common,600 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Numbing Tonic (Greater),Élixir,13,Common,600 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Addiction Suppressant (Major),Élixir,14,Rare,500 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Affliction Suppressant (Major),Élixir,14,Common,675 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Antidote (Major),Élixir,14,Common,675 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Antiplague (Major),Élixir,14,Common,675 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Bomber's Eye Elixir (Greater),Élixir,14,Common,700 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Chromatic Jellyfish Oil (Moderate),Élixir,14,Common,800 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Malleable Mixture (Greater),Élixir,14,Uncommon,750 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Winterstep Elixir (Greater),Élixir,14,Uncommon,640 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Elixir of Life (Major),Élixir,15,Common,"1,300 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Major Elixir of the Peaks,Élixir,15,Rare,120 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Sea Touch Elixir (Greater),Élixir,15,Common,920 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Stone Body Mutagen (Greater),Élixir,15,Common,920 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Apricot of Bestial Might,Élixir,16,Uncommon,"2,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Cooling Elixir (Greater),Élixir,16,Common,"1,400 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Eagle-Eye Elixir (Major),Élixir,16,Common,"2,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Numbing Tonic (Major),Élixir,16,Common,"1,400 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Witchwarg Elixir (Greater),Élixir,16,Common,"1,400 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Bendy-Arm Mutagen (Major),Élixir,17,Common,"3,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Bestial Mutagen (Major),Élixir,17,Common,"3,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Cognitive Mutagen (Major),Élixir,17,Common,"3,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Deadweight Mutagen (Major),Élixir,17,Common,"3,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Drakeheart Mutagen (Major),Élixir,17,Common,"3,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Energy Mutagen (Major),Élixir,17,Common,"3,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Juggernaut Mutagen (Major),Élixir,17,Common,"3,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Prey Mutagen (Major),Élixir,17,Rare,"3,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Quicksilver Mutagen (Major),Élixir,17,Common,"3,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Serene Mutagen (Major),Élixir,17,Common,"3,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Silvertongue Mutagen (Major),Élixir,17,Common,"3,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Sixfingers Elixir (Greater),Élixir,17,Uncommon,"2,500 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Soothing Tonic (Major),Élixir,17,Common,"2,700 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Spiderfoot Brew (Greater),Élixir,17,Common,"2,500 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Theatrical Mutagen (Major),Élixir,17,Common,"3,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
War Blood Mutagen (Major),Élixir,17,Uncommon,"3,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Applereed Mutagen (Greater),Élixir,18,Rare,"5,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Blood Booster (Greater),Élixir,18,Common,"3,400 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Bottled Catharsis (Major),Élixir,18,Common,"3,250 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Surging Serum (Major),Élixir,18,Common,"3,250 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Vaccine (Major),Élixir,18,Common,"5,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Chromatic Jellyfish Oil (Greater),Élixir,19,Common,"5,200 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Contagion Metabolizer (Greater),Élixir,19,Common,"8,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Elixir of Life (True),Élixir,19,Common,"8,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Numbing Tonic (True),Élixir,19,Common,"8,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Elixir of Rejuvenation,Élixir,20,Uncommon,,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Sun Orchid Elixir,Élixir,20,Rare,,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
